URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://unsplash.com/photos/eiffel-tower-paris-across-body-of-water-during-daytime-m-sVLnrjFxY,"A daytime view of the Eiffel Tower beside the Seine, with people along the riverside. I chose this place because it’s one of the most iconic and romantic cityscapes in the world.",France,Sunny,Afternoon,Summer,Sightseeing / relaxing by the river,Romance
https://unsplash.com/photos/london-bridge-london-ymX6FQ6dAZI,A calm sunrise view near London Bridge and the River Thames. I chose it for the iconic riverside walk and peaceful morning feel.,United Kingdom,Snowy,Morning,Winter,Sightseeing / walking along the river,Happiness
https://www.pexels.com/photo/camels-at-the-site-of-pyramids-2445852/,The image shows camels resting in the desert with the Pyramids of Giza behind them. I chose this place because it combines famous ancient history with a beautiful desert view.,Egypt,Sunny,Afternoon,Fall,Sightseeing / tourism with camels at the pyramids,Curiosity
https://www.pexels.com/photo/the-roman-colosseum-in-rome-italy-27428519/,"A bright, detailed photo of the Roman Colosseum with a wide view. I chose it because it’s a famous landmark that reflects the greatness of ancient Rome.",Italy,Sunny,Afternoon,Summer,Sightseeing / exploring a historic landmark,Curiosity
https://www.pexels.com/photo/charming-blue-and-white-street-in-carthage-tunisia-29679525/,"A charming blue-and-white street in Carthage with Mediterranean-style buildings and plants. I chose it because the colors feel calm and coastal, giving a relaxed travel vibe.",Tunisia,Sunny,Afternoon,Winter,"Sightseeing / walking through a historic, picturesque neighborhood",Happiness
https://www.pexels.com/photo/great-wall-of-china-2412603/,"A scenic view of the Great Wall of China stretching across misty mountains with autumn colors. I chose this place because it feels historic and powerful, yet calm and peaceful in the fog.",China,Cloudy,Morning,Fall,Sightseeing / walking or hiking along the Great Wall,Adventure
https://www.pexels.com/photo/brown-tomb-2179666/,A vertical photo of Petra’s carved tomb. I chose this place because it highlights the impressive ancient design and the unique sandstone scenery.,Jordan,Sunny,Afternoon,Spring,Sightseeing / Heritage tourism / Photography,Curiosity
https://www.pexels.com/photo/people-holding-umbrellas-while-crossing-a-pedestrian-lane-7210072/,A busy Tokyo crosswalk with people holding umbrellas under neon lights. I chose this place because it shows the city’s energy and the cinematic feel of walking in the rain.,Japan,Rainy,Evening,Spring,Walking / Commuting / Sightseeing,Excitement
https://www.pexels.com/photo/brown-bigbus-istanbul-traveling-on-road-near-brown-dome-building-879478/,A city travel photo of a sightseeing bus passing by Istanbul’s famous domes. I chose this place because it shows both daily life and the city’s historic architecture in one scene.,Turkey,Cloudy,Afternoon,Winter,Sightseeing / City tour,Happiness
https://www.pexels.com/photo/st-peter-basilica-russia-under-clouded-sky-236294/,"A square photo of Saint Basil’s Cathedral in Red Square, Moscow, under a cloudy sky. I chose it because it’s a famous landmark with colorful domes.",Russia,Cloudy,Afternoon,Spring,Sightseeing / Photography,Excitement
