ImageURL,Description,Country,Weather,TimeOfDay,Season,Activity,Mood
"https://images.pexels.com/photos/3293192/pexels-photo-3293192.jpeg","A row of overwater bungalows with beautiful flowers at their entrance, connected by a wooden walkway, all above clear turquoise water",Maldives,Sunny,Afternoon,Not Clear,Relaxing,Happiness
"https://images.pexels.com/photos/3752402/pexels-photo-3752402.jpeg","Lush tea fields on a hillside with trees on the left and center, mountains with trees in the background",Indonesia,Cloudy,Afternoon,Not Clear,Relaxing,Adventure
"https://images.pexels.com/photos/3069345/pexels-photo-3069345.jpeg","Different modern architectural styles of glassy skyscrapers glowing during night with their reflections shimmering on the water below",Qatar,Not Clear,Evening,Not Clear,Sightseeing,Excitement
"https://images.pexels.com/photos/30429904/pexels-photo-30429904.jpeg",Small ice blocks floating on the water in the foreground with a large empty icy land in the background,"Antarctica (continent, not a country)",Sunny,Afternoon,Not Clear,Exploring,Adventure
"https://images.pexels.com/photos/33067847/pexels-photo-33067847.jpeg","In the foreground, a coastal city of mid-rise buildings along green-touched hills, while distant hills in the background",Albania,Sunny,Afternoon,Not Clear,Relaxing,Adventure
"https://images.pexels.com/photos/15846814/pexels-photo-15846814.jpeg","A beautiful sunset at an empty desert with distant low-rise mountains",Jordan,Sunny,Evening,Not Clear,Exploring,Adventure
"https://images.pexels.com/photos/34937421/pexels-photo-34937421.jpeg","Sunlight shines through a dense rainforest, lighting up green moss, and a small waterfall in the background",Malaysia,Sunny,Afternoon,Not Clear,Exploring,Adventure
"https://images.pexels.com/photos/27915282/pexels-photo-27915282.jpeg","White calcium shimmering pools hold turquoise water in the foreground, and a green valley with distant high mountains in the background",Turkiye,Sunny,Afternoon,Not Clear,Sightseeing,Adventure
"https://images.pexels.com/photos/8379613/pexels-photo-8379613.jpeg","An incredible view of a towering mountain with its snowy peaks dominating the scene, and lush green slopes below, all are reflected in the mirror-like water",Pakistan,Cloudy,Afternoon,Not Clear,Relaxing,Happiness
"https://images.pexels.com/photos/34246981/pexels-photo-34246981.jpeg","And what could be more beautiful than going to the Kaaba, when you see thousands of worshippers around it, striving to attain the highest ranks?",Saudi Arabia,Not Clear,Morning,Not Clear,Worshipping,Happiness
