Image_URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://www.fcbarcelona.com/photo-resources/2025/10/31/4dae3fd7-793a-4cd3-99a8-9ebc1c3a6ab9/_GP10508.jpg?width=1200&height=750,FC Barcelona Stadium (Camp Nou),Spain,Sunny,Morning,Summer,,Happiness
https://api-www.louvre.fr/sites/default/files/2021-01/cour-napoleon-et-pyramide_1.jpg,Louvre Musuem,France,Cloudy,Evening,Not Clear,Sightseeing,Curiosity
https://upload.wikimedia.org/wikipedia/commons/3/3a/View_from_the_Bunkers_del_Carmel.jpg,Bunkers Del Carmel,Spain,Not Clear,Evening,Summer,Sightseeing,Adventure
https://image-tc.galaxy.tf/wijpeg-12dd588ga7o5pz4lnwzb0j6oy/casa-batllo.jpg,Casa Batllo,Spain,Cloudy,Afternoon,Spring,Sightseeing,Nostalgia
https://s3.eu-west-1.amazonaws.com/pro.static.portalstdo.tmb.cat/styles/galeria_slider/s3/2025-05/REF_CATEDRAL_CT6A5463.jpg.webp?itok=N1FuakHG,Cathedral of Barcelona,Spain,Cloudy,Afternoon,Spring,Sightseeing,Happiness
https://live.staticflickr.com/4026/4418029644_8927c1f7be_b.jpg,Sagrada Familia,Spain,Snowy,Afternoon,Winter,Sightseeing,Curiosity
https://cdn.britannica.com/62/153462-050-3D4F41AF/Grand-Canal-Venice.jpg,Grand Canal,Italy,Sunny,Morning,Summer,Sailing,Adventure
https://upload.wikimedia.org/wikipedia/commons/a/af/All_Gizah_Pyramids.jpg,Pyramids,Egypt,Sunny,Morning,Summer,Relaxing,Curiosity
"https://hips.hearstapps.com/hmg-prod/images/the-town-of-varenna-on-lake-como-royalty-free-image-1690925689.jpg?crop=0.88638xw:1xh;center,top&resize=1200:*",Lake Como,Italy,Sunny,Morning,Summer,Sightseeing,Romance
https://cdn-imgix.headout.com/media/images/c1b3d2ea0dec8ae016c56d0d13691b1c-This%20is%20a%20Photograph%20of%20Galata%20Tower.jpg?auto=format&q=90&crop=faces&fit=crop,Galata Tower,Turkey,Sunny,Evening,Summer,Sightseeing,Romance
