Image URL ,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://images.pexels.com/photos/2467552/pexels-photo-2467552.jpeg ,The Eiffel Tower stands as an iconic symbol of Paris surrounded by trees and radiating charm and wonder. I chose this place because it feels like a dream I hope will come true,France,Cloudy,Afternoon,Spring,Sightseeing,Excitement
https://images.pexels.com/photos/1707310/pexels-photo-1707310.jpeg ,Burj Khalifa surrounded by lights and people. I chose this place because it symbolizes human ambition and the thrill of seeing the tall buildings.,United Arab Emirates,Cloudy,Evening,Winter,Sightseeing,Happiness
https://images.pexels.com/photos/34936504/pexels-photo-34936504.jpeg,"A peaceful autumn scene at Inokashira Park in Tokyo, with a calm lake, vibrant fall trees, and clear blue sky. I chose this destination as it is perfect for quiet reflection and enjoying nature.",Japan,Sunny,Afternoon,Fall,Relaxing,Romance
https://vegantravellife.com/wp-content/uploads/2020/08/Collserola-National-Park-1-1024x485.jpg,"A peaceful hiking trail in Collserola Natural Park near Barcelona, surrounded by green forests and gentle hills. I chose this place because it's a quiet natural escape, perfect for experiencing nature. ",Spain,Sunny,Morning,Spring,Hiking,Adventure
https://blog.donaldyip.com/wp-content/uploads/2018/03/P1150245.jpg ,"Hallstatt, a picturesque lakeside village framed by snow-covered Alps mountains. I chose this place as it is famed for its stunning natural beauty and charming architecture.",Austria,Snowy,Evening,Winter,Sightseeing,Excitement
https://images.pexels.com/photos/1698439/pexels-photo-1698439.jpeg ,"A colorful, narrow Mediterranean street lined with outdoor café tables, blue awnings. I chose this place because it looks peaceful, warm, and inviting, a perfect spot to relax and explore.",Greece,Sunny,Afternoon,Summer,Relaxing,Curiosity
https://images.pexels.com/photos/13546166/pexels-photo-13546166.jpeg,"This image captures a rainy day in Eski?ehir, Turkey, with people walking along a modern street lined with shops and tram tracks. I chose this place for its vibrant urban life and unique blend of modern cityscapes with cultural charm.",Turkey,Rainy,Afternoon,Fall,Walking,Nostalgia
https://images.pexels.com/photos/9149298/pexels-photo-9149298.jpeg ,"A stunning overwater resort surrounded by crystal-clear turquoise waters, showcasing the iconic tropical scenery. I chose this place because it is a world-famous luxury getaway.",Maldives,Sunny,Morning,Summer,Walking,Romance
https://hajartravels.com/wp-content/uploads/2025/04/history-of-holy-kaaba.jpeg,"A clear view of the Kaaba in Masjid al-Haram, surrounded by worshippers in prayer. I chose this destination because it is a deeply sacred religious site and visiting it has always been one of my biggest dreams.",Saudi Arabia,Sunny,Afternoon,Summer,Pilgrimage,Happiness
https://images.pexels.com/photos/19819932/pexels-photo-19819932.jpeg,"The Dome of the Rock, an iconic Islamic shrine in Jerusalem, is famous for its golden dome and intricate blue tiles. I chose it because of its spiritual importance, rich history, and architectural beauty.",Palestine,Sunny,Afternoon,Fall,Sightseeing,Nostalgia
