Image URL,Description,Country,Weather,Time of Day,Season ,Activity,Mood 
https://static21.com-hotel.com/uploads/hotel/59498/photo/albatros-palace-sharm-families-and-couples-only_159781158632.jpg,"A bright resort view showing a beachfront hotel by the sea — I chose it because the clear water, sunlit sky, and seaside setting evoke relaxation and holiday vibes.",Egypt,Sunny,Afternoon ,Summer,Vacation,Happiness
https://happytowander.com/wp-content/uploads/Louvre-Museum-Paris-Happy-to-Wander-00464.jpg,A peaceful scene showing a modern glass structure beside an elegant historic building; I chose it because the mix of architecture feels inspiring and calming.,France,Sunny,Morning,Spring,Sightseeing,Curiosty 
https://travelmemo.com/wp-content/uploads/2016/11/Taj-Mahal-Delhi-India.jpg,"A magnificent view of a grand white mausoleum beside tranquil water, chosen because its beauty and symmetry feel peaceful and timeless.",India,Sunny,Afternoon ,Not clear,Sightseeing,Wonder 
https://www.chinadiscovery.com/assets/images/winter-tours/cold-destinations/great-wall-512.jpg,"A majestic view of a long historic wall stretching across forested hills, chosen because the vast landscape and ancient construction evoke a feeling of adventure and discovery.",China ,Cloudy,Morning,Fall,Sightseeing/ Hiking,Adventure
https://t3.ftcdn.net/jpg/06/78/11/14/360_F_678111459_MdM4Kp098DWl8FXWtLslNjOhednOC4vC.jpg,"A peaceful pathway surrounded by trees with golden autumn leaves, chosen because the warm colors and quiet atmosphere feel cozy and refreshing.",Korea,Sunny,Morning,Autumn ,Nature Walk,Calm
https://exodus-website.s3.amazonaws.com/uploads/2024/10/Main-image-8-1024x683.jpg,A wide forest valley with autumn-colored trees and soft light filtering through — I chose it because the warm tones and natural landscape feel cozy and full of calm beauty.,Korea,Cloudy,Afternoon ,Autumn ,Relaxing/Nature walk,Peacefulness
https://www.femalefirst.co.uk/image-library/square/500/g/golden-gate-bridge-1.jpg,"A striking view of an iconic suspension bridge over water, chosen because the structure’s bold lines and open sky evoke a sense of wonder and freedom.",United States,Sunny,Afternoon ,Not clear,Sightseeing,Excitement
https://thebackpackingexecutive.com/wp-content/uploads/2023/11/Famous-Landmarks-in-Denmark-Nyhavn-Featured.jpg,"A charming waterfront canal lined with colorful historic houses and boats — I chose it because the bright facades, water reflections, and cozy atmosphere make it feel like a postcard-perfect memory of travel and calm city life.",Denmark,Cloudy,Afternoon ,Autumn ,Walking in the canal,Happiness
https://travel2next.com/wp-content/uploads/Brazi-Landmarks-Catedral-Metropolitana-Nossa-Senhora-1024x532.jpg,A striking view of a modern cathedral with dramatic architecture — I chose it because its bold design and calm surroundings evoke a sense of wonder and real-world scale.,Brazil,Sunny,Afternoon ,Not clear,Sightseeing,Awe
https://travel2next.com/wp-content/uploads/cultural-landmarks-in-malaysia-thean-hou-temple-1024x681.jpg,"An ornate, brightly colored Chinese temple with traditional architecture and red lanterns — I chose it because the vibrant design, cultural heritage, and peaceful surroundings evoke curiosity and respect for multicultural history.",Malaysia,Sunny,Afternoon ,Not clear,Cultural visit,Curiosty 
