Image,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://images5.alphacoders.com/573/573236.jpg,A stunning lakeside town surrounded by snow-dusted mountains under a vibrant pink and blue sunset sky.,New Zealand,Partly Cloudy,Evening,Winter,Sightseeing,Tranquility
https://images7.alphacoders.com/902/thumb-1920-902602.jpg,A golden sandy beach with turquoise waters and lush green hills under bright sunny skies.,USA,Sunny,Afternoon,Summer,Swimming,Happiness
https://images.pexels.com/photos/1285625/pexels-photo-1285625.jpeg,White-washed cliffside homes with blue domes overlooking the deep blue Aegean Sea on a clear day.,Greece,Sunny,Afternoon,Summer,Sightseeing,Romance
"https://images.prismic.io/perlan/046cecbc-1bb8-4065-b249-73bbc226fa1e_13439-157-2613.png?auto=compress,format",Northern lights glowing above a peaceful harbor and modern buildings reflected in still water.,Iceland,Clear Night Sky,Night,Winter,Aurora Watching,Wonder
https://images.unsplash.com/photo-1551322120-c697cf88fbdc?q=80&w=2069&auto=format&fit=crop,A bright skyline featuring Tokyo Tower surrounded by dense clusters of modern buildings.,Japan,Clear,Afternoon,Spring,Urban Exploration,Excitement
https://images.unsplash.com/photo-1464790719320-516ecd75af6c,"A coastal cityscape with beaches, modern buildings, and lively crowds enjoying sunlight.",Spain,Sunny,Afternoon,Summer,Beachgoing,Joy
https://images.unsplash.com/photo-1605101100278-5d1deb2b6498?q=80&w=1170&auto=format&fit=crop,Historic canal houses reflecting warm sunset colors across calm water.,Netherlands,Cloudy Sunset,Evening,Fall,Canal Touring,Nostalgia
https://images.unsplash.com/flagged/photo-1562503542-2a1e6f03b16b?q=80&w=1074&auto=format&fit=crop,A dramatic skyline featuring Marina Bay Sands under a colorful sunset sky.,Singapore,Partly Cloudy,Sunset,Summer,Sightseeing,Awe
https://images.unsplash.com/photo-1568515387631-8b650bbcdb90?q=80&w=1170&auto=format&fit=crop,Aerial view of Manhattan with Central Park at the center of towering skyscrapers.,USA,Clear,Afternoon,Summer,Sightseeing,Energy
https://images.unsplash.com/photo-1627484986972-e544190b8abb?q=80&w=1168&auto=format&fit=crop,A futuristic nighttime skyline glowing with gold and white lights across tall skyscrapers.,China,Clear Night,Night,Fall,City Exploration,Excitement
