Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://upload.wikimedia.org/wikipedia/commons/3/32/Eiffel_Tower_at_sunset.jpg,"Wide view of the Eiffel Tower glowing at sunset above central Paris. I chose this because I’ve always wanted to see Paris from above and experience its classic city atmosphere.",France,Sunny,Evening,Summer,Sightseeing,Excitement
https://upload.wikimedia.org/wikipedia/commons/c/c5/Moraine_Lake_17092005.jpg,"Turquoise Moraine Lake surrounded by sharp snow-capped peaks in Banff National Park. I chose it because I’d love to hike here and see this dramatic alpine scenery in person.",Canada,Sunny,Afternoon,Summer,Hiking,Adventure
https://upload.wikimedia.org/wikipedia/commons/b/b6/New_York_City_skyline_sunset_World_Trade_Center.jpg,"New York City skyline at sunset with One World Trade Center reflecting the light. I chose it because I want to feel the energy of NYC and see this view from the water.",United States,Cloudy,Evening,Fall,Sightseeing,Excitement
https://upload.wikimedia.org/wikipedia/commons/e/eb/The_Sydney_Opera_House_at_dusk.jpg,"Sydney Opera House lit up at dusk with the harbor and city lights around it. I chose it because I’d love to walk along the waterfront and maybe see a performance there.",Australia,Cloudy,Evening,Summer,Sightseeing,Happiness
https://upload.wikimedia.org/wikipedia/commons/f/f4/TreasuryPetra.jpg,"The carved sandstone facade of the Treasury in Petra, framed by high canyon walls. I chose it because the ancient rock architecture looks like stepping straight into history.",Jordan,Sunny,Afternoon,Fall,Sightseeing,Curiosity
https://upload.wikimedia.org/wikipedia/commons/7/7b/Panoramic_view_of_aurora_over_Iceland.jpg,"Bright green aurora borealis stretching over stone arches in an open Icelandic landscape. I chose it because seeing the northern lights in person is one of my biggest travel dreams.",Iceland,Not Clear,Evening,Winter,Aurora watching,Awe
https://upload.wikimedia.org/wikipedia/commons/b/b6/Milford_Sound_%28New_Zealand%29.JPG,"Mitre Peak rising steeply over the deep blue water of Milford Sound in New Zealand. I chose it because the cliffs and quiet fjord look like a dramatic place to explore by boat.",New Zealand,Sunny,Afternoon,Summer,Boat tour,Curiosity
https://upload.wikimedia.org/wikipedia/commons/8/86/00_1371_New_Zealand_-_Milford_Sound.jpg,"Steep green and rocky cliffs rising from the still water of Milford Sound in New Zealand. I chose it because the fjord looks remote and dramatic, like a hidden world of mountains and sea.",New Zealand,Cloudy,Afternoon,Summer,Sightseeing,Curiosity
https://upload.wikimedia.org/wikipedia/commons/2/22/South_Africa_-_Drakensberg_%2816261357780%29.jpg,"Rolling green hills and cliffs of the Drakensberg mountains in South Africa’s Royal Natal National Park. I chose it because the valleys and peaks look perfect for long nature hikes.",South Africa,Sunny,Morning,Summer,Hiking,Adventure
https://upload.wikimedia.org/wikipedia/commons/d/d1/Snowy_forest_in_Denali_%28db863b5b-ac90-45bb-90bb-2f600d864b48%29.jpg,"Snow-covered spruce and aspen trees in a quiet winter forest in Denali National Park, Alaska. I chose this image because it shows the deep snowy forest wilderness I dream of exploring in Alaska.",United States,Snowy,Afternoon,Winter,Sightseeing,Adventure
