image_url,description,country,weather,time_of_day,season,activity,mood_emotion
https://upload.wikimedia.org/wikipedia/commons/d/da/Lavaux_Switzerland.jpg,"Peaceful vineyards by Lake Geneva in Switzerland, chosen for its relaxing countryside and scenic beauty away from the city.",Switzerland,Sunny,Afternoon,Summer,Relaxing,Happiness
https://images.pexels.com/photos/30091614/pexels-photo-30091614.jpeg,"Fouji Mountain in Japan, chosen for its breathtaking view and fascination with the iconic peak.",Japan,Sunny,Afternoon,Summer,Sightseeing,Adventure
https://images.pexels.com/photos/3204950/pexels-photo-3204950.jpeg,"A beautifully lit traditional Chinese pagoda at night. I chose it because the architecture is striking and instantly evokes classic Chinese design.",China,Not Clear,Evening,Summer,Sightseeing,Curiosity
https://images.pexels.com/photos/1562058/pexels-photo-1562058.jpeg,"The Aurora Borealis over a snowy coast, a magical sight that always warms my heart.",Norway,Snowy,Evening,Winter,Relaxing,Nostalgia
https://images.pexels.com/photos/33111971/pexels-photo-33111971.jpeg,"The mysterious stone statues of Easter Island, which have always made me wonder about their meaning and creation.",Easter Island,Sunny,Morning,Summer,Sightseeing,Curiosity
https://images.pexels.com/photos/35047590/pexels-photo-35047590.jpeg,"A peaceful lakeside landscape in Morschach, Switzerland, surrounded by mountains and greenery. I chose it because it is a place where I can relax and connect with nature.",Switzerland,Sunny,Morning,Spring,Relaxing,Happiness
https://images.pexels.com/photos/1659294/pexels-photo-1659294.jpeg,"The Al-Aqsa Mosque in Palestine my home, a historic and sacred site. I chose it because it is the place I most want to revisit.",Palestine,Sunny,Afternoon,Summer,Praying,Melancholy
https://images.pexels.com/photos/35026560/pexels-photo-35026560.jpeg,"A scenic mountainous trail in Domaniç, Türkiye, surrounded by colorful fall foliage. I chose it because I want to experience hiking in a place like this.",Türkiye,Sunny,Morning,Fall,Hiking,Excitement
https://images.pexels.com/photos/5211747/pexels-photo-5211747.jpeg,"Korean street food trucks in Gwangju, Korea, bustling with local flavors. I chose it because I have always wanted to try Korean street food.",Korea,Rainy,Evening,Winter,Sightseeing,Happiness
https://images.pexels.com/photos/21802590/pexels-photo-21802590.jpeg,"Historic landmarks in Rome, Italy, showcasing the city's rich architectural heritage. I chose it because I want to visit these sites and explore Italy's history.",Italy,Cloudy,Afternoon,Not Clear,Sightseeing,Nostalgia

