ImageURL,Description,Country,Weather,TimeOfDay,Season,Activity,Mood
https://images.unsplash.com/photo-1631614184214-cb0f8f6ed50e?fm=jpg,"Evening view of the Louvre Museum pyramid glowing under deep blue skies, showing the artistic and historic charm of Paris.",France,Cloudy,Evening,Not Clear,Sightseeing,Curiosity
https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e?fm=jpg,"Two women wearing traditional purple and pink kimonos walking on a historic street in Kyoto — capturing traditional Japanese culture and the peaceful charm of old-town Japan.",Japan,Not Clear,Afternoon,Fall,Walking,Curiosity 
https://images.unsplash.com/photo-1513072064285-240f87fa81e8?fm=jpg,"A rainy night at the Kaaba with worshippers praying on the wet marble floor, illuminated by the mosque lights, creating a peaceful and spiritual atmosphere.",Saudi Arabia,Not Clear,Evening,Winter,Praying,Nostalgia
https://images.unsplash.com/photo-1610997999027-681b320cee66?fm=jpg,"A bright daytime waterfall surrounded by green forest in Jeju Island, showing the island’s peaceful nature and famous lush scenery.",South Korea,Sunny,Morning,Spring,Sightseeing,Adventure
https://images.unsplash.com/photo-1523906834658-6e24ef2386f9?fm=jpg,"A scenic view of the Rialto Bridge over the Grand Canal in Venice, showcasing the classic canal-city architecture and charm of Venice’s waterways under soft evening light.",Italy,Sunny,Afternoon,Spring,Walking around the city,Romance 
https://images.unsplash.com/photo-1570161766218-f8488ebb8078?fm=jpg,"A peaceful alpine village surrounded by green hills, autumn trees, and snowy mountain peaks, showing the natural beauty of the Swiss countryside.",Switzerland,Snowy,Afternoon,Fall,Sightseeing,Happiness
https://images.unsplash.com/photo-1555992828-ca4dbe41d294?fm=jpg,"An aerial view of the Colosseum surrounded by green parks and historic Roman buildings, showing the rich history and architectural beauty of Rome.",Italy,Sunny,Afternoon,Spring,Sightseeing,Excitement
https://images.unsplash.com/photo-1508971607899-a238a095d417?fm=jpg,"A stunning aerial view of a New Zealand coastline with turquoise water, white sand, and green rolling hills, showing the country’s natural beauty and peaceful landscapes.",New Zealand,Sunny,Afternoon,Summer,Relaxing,Happiness
https://images.unsplash.com/photo-1529963183134-61a90db47eaf?fm=jpg,"A nighttime view of the Northern Lights glowing over snowy rocks and the icy coastline of Iceland, creating a magical and dramatic winter landscape.",Iceland,Snowy,Evening,Winter,Sightseeing,Curiosity
https://images.unsplash.com/photo-1497373637916-e47a55e22d0a?fm=jpg,"A calm turquoise lake surrounded by tall pine trees and snow-tipped mountains, with people canoeing peacefully across the water — showcasing Canada’s breathtaking natural scenery.",Canada,Sunny,Afternoon,Summer,Canoeing,Adventure
