Image URL,Description,Country,Weather,Time of day,Season,Activity,Mood/Emotion,,,
https://i.pinimg.com/736x/a0/d8/5f/a0d85f67b1994ac8a87c4b9b7952901c.jpg,This photo shows the Eiffel Tower on a morning. I chose this place because it is very famous and I want to visit Paris.,Paris,Sunny,Morning,Fall,Sightseeing,Romance,,, 
https://i.pinimg.com/1200x/96/3f/c0/963fc0d525782c28029232805c3546c3.jpg,This photo shows the Grand Canyon during sunrise with beautiful colors on the rocks. I chose this place because it looks amazing and I want to visit it one day,USA,Sunny,Morning,Spring,Hiking,Adventure,,  ,
https://i.pinimg.com/1200x/1f/fb/2e/1ffb2e664a125885776b15bfa3009ff2.jpg,"This photo shows the Swiss Alps with a snowy mountain, blue lakes, and green valleys. I chose this place because it looks peaceful and very beautiful.",Switzerland,Sunny,Morning,Summer,Hiking,Happiness,,,
https://i.pinimg.com/1200x/f8/bf/d2/f8bfd2192e5c2f39765a5536030f69ba.jpg,This photo shows the Statue of Liberty on a sunny day with a beautiful view of the city behind it. I chose this place because it is very famous and I want to visit New York one day.,USA,Sunny,Afternoon,Fall,Sightseeing,Curiosity, ,,
https://i.pinimg.com/1200x/91/2d/df/912ddf44f8e109662179c248fa9f0404.jpg,This photo shows beautiful overwater villas in the Maldives during sunset. I chose this place because it looks peaceful and perfect for relaxing,Maldive,Sunny,Evening,Summer,Relaxing,Happiness,,,
https://i.pinimg.com/736x/95/94/7e/95947e641111e19a47a94fa50e54d988.jpg,This photo shows Shibuya Crossing at night with many people and bright lights. I chose this place because it looks exciting and full of energy.,Japan,Not Clear,Evening,Not Clear,City Walk,Excitement,,,
https://i.pinimg.com/1200x/4f/f8/52/4ff852ff954ad9b13da170d943d3f1d4.jpg,"This photo shows Oia in Santorini during sunset, with white houses and a beautiful sea view. I chose this place because it looks peaceful and very famous.",Greece,Sunny,Evening,Summer,Walking,Romance,,,
https://safa.ps/uploads//images/548537279d1726d8275b75c3e2f07485.jpg,"This photo shows the Dome of the Rock covered in snow, with people playing outside. I chose this place because it is important and very beautiful, especially in the snow.",Palestine,Snowy,Afternoon,Winter,Sightseeing,Happiness,,,
https://images.unsplash.com/photo-1725715443700-58c019bc4ab9?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,This photo shows Tower Bridge in London at night with bright lights. I chose this place because it is a famous landmark and I want to visit London one day.,UK,Not Clear,Evening,Not Clear,Sightseeing,Curiosity,,,
https://i.guim.co.uk/img/media/274157bf4696d296d47614776d777ccc06d31d6d/0_336_3500_2100/master/3500.jpg?width=1200&quality=85&auto=format&fit=max&s=806a4fbcef5b6003b94f36b1b8dc56cc,"This image shows Stonehenge covered in snow. I chose this place because it is very old and mysterious, and I would like to see it in real life.",UK,Snowy,Morning,Winter,Sightseeing,Curiosity,,,
