Image URL,Description,Country,Weather,Time of Day,Season,Activity,Emotion
https://storage.googleapis.com/stateless-www-justwravel-com/2025/05/840b6004-3-768x576.jpg,"""A cliffside view of Kelingking Beach in Nusa Penida, Bali. I chose it for the relaxing, amazing view and the peaceful feeling of looking over the bright blue water.""",Indonesia,Cloudy,Afternoon,Summer,Sightseeing,Excitement
https://images.visititaly.eu/uploads/articoli/evidenza/2022140451Colosseo-di-notte.jpg,"""Evening view of the Colosseum in Rome, glowing with lights. I chose it because it’s a famous place I’ve always wanted to see, and it makes me curious about the stories and history inside its walls.""",Italy,Not Clear,Evening,Not Clear,Sightseeing,Curiosity
https://live.staticflickr.com/5547/14401060837_e56c5f1d7c_b.jpg,"""Morning view of the Maldives with a calm ocean and soft sunrise clouds. I chose it for the peaceful, very relaxing scene that simply makes me happy.""",Maldives,Cloudy,Morning,Spring,Relaxing,Happiness
https://img.freepik.com/premium-photo/sacred-kaaba-makkah-blessing-rain_921485-2288.jpg,"""Rain falling over the Kaaba in Mecca during the evening. I chose it for its peaceful beauty and the warm, happy feeling it gives me inside.""",Saudi Arabia,Rainy,Evening,Winter,Religious/Spiritual Visit,Happiness
https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2025/10/08135201/images-for-blog-good-size-2025-07-10T141916.245-1024x684.jpg,"""A beautiful view of Niagara Falls in Canada with the water rushing down and touches of orange fall trees around it. I chose it because I visited before, and the magical, relaxing scene stayed with me.""",Canada,Not Clear,Afternoon,Fall,Sightseeing,Happiness
https://static.vecteezy.com/system/resources/previews/060/206/036/non_2x/the-sun-sets-over-the-pyramids-of-giza-free-photo.jpeg,"""Sunset view of the Pyramids of Giza with a warm golden sky. I chose it because seeing one of the world’s greatest ancient wonders at sunset feels unforgettable.""",Egypt,Sunny,Evening,Not Clear,Sightseeing,Curiosity
https://www.matterhornparadise.ch/ZBAG/05-skifahren/00_ski/02-sued/1411/image-thumb__1411__img-text-slider/ZBAG_DSCF0640.jpg,"""Snowy Zermatt with the Matterhorn towering above. I chose it for the fun of skiing, the amazing view of the Alps, and the stunning winter scenery.""",Switzerland,Snowy,Afternoon,Winter,Skiing,Adventure
https://www.wanderlustchloe.com/wp-content/uploads/2019/10/Cappadocia-balloons-3.jpg,"""Hot-air balloons floating over Cappadocia at sunrise. I chose it for the unique adventure experience and the magical morning landscape.""",Turkey,Sunny,Morning,Summer,Hot-air balloon ride,Excitement
"https://res.cloudinary.com/hello-tickets/image/upload/c_limit,f_auto,q_auto,w_900/v1716371097/gbono4gkttteo7n34pka.jpg","""Rainy fall scene in Central Park with autumn trees while biking. I chose it because the fall colors and rainy atmosphere feel peaceful and nostalgic.""",USA,Rainy,Afternoon,Fall,Biking,Nostalgia
https://media.cntraveler.com/photos/5a84852c7211e1293261ceb8/16:9/w_2560%2Cc_limit/Skydive-Dubai_2018_GettyImages-643320488.jpg,"""Skydiving over Palm Jumeirah in Dubai. I chose it because the aerial view and adrenaline of jumping above the iconic island feel unforgettable.""",UAE,Cloudy,Afternoon,Not Clear,Skydiving,Adventure
