Image URL, Description, Country, Weather, Time of Day, Season, Activity, Mood/Emotion
https://upload.wikimedia.org/wikipedia/commons/5/5e/20200110_Tiananmen-3.jpg, Tiananmen is the entrance gate of the imperial palace complex in Beijing. It is a national symbol of the People's Republic of China. First build in 1420 Tiananmen was the entrance to the Emperor's residence. In 1949 Mao Zedong proclaimed the People's Republic of China from the balcony., China, Sunny, Morning, Winter, Sightseeing, Happiness
https://upload.wikimedia.org/wikipedia/commons/c/c7/Cattedrale_di_Santa_Maria_del_Fiore_%E2%80%93_Il_Duomo_di_Firenze.jpg, Santa Maria del Fiore is the cathedral of the Catholic Archdiocese of Florence. It is one of world's largest churches and its dome is still the largest masonry dome ever constructed., Italy, Sunny, Afternoon, Fall, Sightseeing, Nostalgia
https://upload.wikimedia.org/wikipedia/commons/b/bb/Machu_Picchu%2C_2023_%28012%29.jpg, Machu Picchu is a 15th-century Inca citadel located in the Eastern Cordillera of southern Peru on a mountain ridge at 2430 metres., Preu, Sunny, Afternoon, Spring, Hiking, Adventure
https://upload.wikimedia.org/wikipedia/commons/7/72/Ahu_Tongariki.jpg, Moai are monolithic human figures carved from stone by the Rapa Nui people between the years 1250 and 1500., Rapa Nui, Cloudy, Afternoon, Spring, Sightseeing, Curiosity
https://upload.wikimedia.org/wikipedia/commons/8/81/Hungarian_Parliament_Building_%28Night%29_by_AKW.jpg, Hungarian Parliament Building is the seat of the National Assembly of Hungary. A notable landmark and a popular tourist destination in Budapest., Hungary, Not Clear, Evening, Spring, Sightseeing, Melancholy
https://upload.wikimedia.org/wikipedia/commons/f/f8/View_of_Mount_Fuji_from_%C5%8Cwakudani_20211202.jpg, Mount Fuji is an active volcano located 100 km southwest of Tokyo. It is the highest mountain in Japan with a summit elevation of 3776 metres., Japan, Sunny, Morning, Winter, Relaxing, Happiness
https://upload.wikimedia.org/wikipedia/commons/0/0d/WalesC0047.jpg, Pontcysyllte Aqueduct is the longest aqueduct in Great Britian and the highest canal aqueduct in the world. It carries the Llangollen Canal across the River Dee in the Vale of Llangollen in northeast Wales., Wales, Cloudy, Afternoon, Spring, Sightseeing, Curiosity
https://upload.wikimedia.org/wikipedia/commons/5/51/Chichen_Itza_3.jpg, El Castillo also known as the Temple of Kukulcan is a Mesoamerican step-pyramid in the Chichen Itza archaeological site. Built by the Maya civilization., Mexico, Cloudy, Afternoon, Summer, Sightseeing, Adventure
https://upload.wikimedia.org/wikipedia/commons/c/c1/Himeji_castle_in_may_2015.jpg, Himeji Castle is a hiltop Japanese castle complex situated in Himeji a city in Hyogo Prefecture. The castle is regarded as the finest surviving example of prototypical Japanese castle architecture., Japan, Sunny, Morning, Summer, Sightseeing, Happiness
https://upload.wikimedia.org/wikipedia/commons/3/3c/Stonehenge2007_07_30.jpg, Stonehenge is a prehistoric megalithic structure on Sailsbury Plain in Wiltshire England. One of the most famous landmarks in the UK. It is regarded as a British curtural icon. It is speculated that Stonehenge could have been a burial ground from its earliest beginnings around 3000 BC., England, Cloudy, Afternoon, Summer, Sightseeing, Curiosity
