Image URL Description,,Country,Weather,Time of day,Season,Activity,Mood/Emotion
https://content.phuket101.net/wp-content/uploads/20200507081806/phi-phi-islanf-thailand.jpg,"A breathtaking aerial view of the Phi Phi Islands with emerald lagoons, high limestone cliffs, and bright turquoise waters. I chose this image because it perfectly captures the tropical beauty and dramatic landscapes Thailand is famous for.",Thailand,Sunny,Afternoon,Summer,Sightseeing,Adventure
https://www.worldtravelguide.net/wp-content/uploads/2018/05/shu-Netherlands-Amsterdam-Canal-653103709-EDITORIAL-1440x823.jpg,"A charming view of Amsterdam’s canals with classic Dutch houses, bicycles lined along the bridge, and calm reflective water. I chose this image because it represents the peaceful charm and signature architecture of the city.",Netherlands,Sunny,Afternoon,Spring,Sightseeing,Happiness
"https://www.tripsavvy.com/thmb/WwYkQk9Tkjwisz95gzZHnPFSzjQ=/3865x2576/filters:fill(auto,1)/argentina-buenos-aires-dawn-at-center-with-rush-hour-667138246-5b5f85ac46e0fb00258228a8.jpg","A vibrant view of the Obelisk of Buenos Aires surrounded by colorful city lights, busy streets, and a pink sunset sky. I chose this image because it captures the energetic atmosphere and iconic landmark of Argentina’s capital.",Argentina,Clear,Sunset,Autumn,City exploration,Vibrant
https://media.architecturaldigest.com/photos/5adf4632eafdee4e6e6c3cd1/16:9/w_2560%2Cc_limit/GettyImages-677597924.jpg,"A stunning view of Vienna featuring the colorful patterned roof of St. Stephen’s Cathedral glowing in the sunlight, overlooking the historic city center. I chose this image because it perfectly showcases Vienna’s unique blend of Gothic architecture and classic European elegance.",Austria,Clear,Sunrise,Spring,City exploration,Elegant 
https://livingnomads.com/wp-content/uploads/2021/06/14/cappadocia-turkey-blog-guide-3.jpg,"A breathtaking view of Cappadocia’s fairy-chimney rock formations, cave dwellings, and a blue-domed mosque glowing under warm sunset light. The image showcases the region’s one-of-a-kind geological structures and historic cave architecture.",Turkey,Clear,Sunset,Autumn,Sightseeing,Magical 
https://www.egypttoursportal.com/images/2017/11/Cairo-City-Egypt-Tours-Portal-1-e1511901150793.jpg,"A panoramic view of Cairo showcasing the iconic Mosque-Madrasa of Sultan Hassan, known for its massive domes and elegant minarets, contrasted against the busy modern city.",Egypt,Clear,Morning,Summer,Cultural tour,Historic
"https://www.tripsavvy.com/thmb/1Ajx7R6KTGTyQ2yBWWlGqoOftLQ=/3845x2563/filters:fill(auto,1)/GettyImages-461358497-590d4e663df78c9283ec10ac.jpg","A magical sunset over Santorini’s cliffside village of Oia, with glowing lights, white houses, and deep blue seas.",Greece,Clear,Sunset,Summer,Sightseeing,Romantic
https://www.fodors.com/wp-content/uploads/2019/11/05_TableMountain101__DoINeedAGuide_shutterstock_506610490.jpg,"A breathtaking sunset over Cape Town’s Table Mountain, highlighting cliffs, greenery, and ocean views.",South Africa,Clear,Sunset,Summer,Hiking,Adventure
https://wallpaperaccess.com/full/6245.jpg,"A colorful, energetic night scene overlooking Gangnam with illuminated buildings and roads.",South Korea,Clear,Evening,Fall,Sightseeing,Excitement 
"https://www.tripsavvy.com/thmb/vByO-PRQSd6DPbWepqUcjBHYrh4=/2121x1414/filters:fill(auto,1)/GettyImages-5787503411-591f4e323df78cf5fa4718b0.jpg","Scenic view of Rio’s coastline, mountains, and the famous Christ the Redeemer statue.",Brazil,Cloudy,Morning,Summer,Sightseeing,Awe
