ImageURL,Description,Country,Weather,TimeOfDay,Season,Activity,Mood
https://images.pexels.com/photos/34981839/pexels-photo-34981839.jpeg,The Grand Mosque in Makkah with the Kaaba surrounded by pilgrims under a clear blue sky; I chose it because visiting for Umrah or Hajj is one of my biggest spiritual dreams.,Saudi Arabia,Sunny,Afternoon,Summer,Pilgrimage,Happiness
https://images.pexels.com/photos/1530259/pexels-photo-1530259.jpeg,"The Eiffel Tower in Paris on a bright day, shot from below against a blue sky; I chose it because I dream of experiencing the city’s art, culture, and night views from the tower.",France,Sunny,Afternoon,Not clear,Sightseeing,Romance
https://images.pexels.com/photos/11565073/pexels-photo-11565073.jpeg,The Dome of the Rock in the Al-Aqsa Mosque compound at golden hour; I chose it because it is a deeply important Islamic and historical site that I hope to visit one day.,Palestine,Sunny,Evening,Spring,Sightseeing,Nostalgia
https://images.pexels.com/photos/720254/pexels-photo-720254.jpeg,The ancient rock-carved facade of Petra in warm sunset light; I chose it because its history and desert scenery make it one of the most fascinating places in the world.,Jordan,Sunny,Evening,Summer,Sightseeing,Curiosity
https://images.pexels.com/photos/1320686/pexels-photo-1320686.jpeg,Overwater villas and turquoise sea in the Maldives under a bright tropical sky; I chose it because it looks like the perfect place to relax by the ocean and enjoy clear water.,Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
https://images.pexels.com/photos/29622178/pexels-photo-29622178.jpeg,Snow-covered peaks of the Himalaya Mountains rising above the clouds; I chose it because I would love to see these dramatic high mountains and feel the fresh cold air.,Nepal,Sunny,Morning,Winter,Hiking,Adventure
https://images.pexels.com/photos/7688930/pexels-photo-7688930.jpeg,A lone hiker in a red jacket walking through deep snow between tall pine trees; I chose it because I like the idea of a quiet winter adventure in a remote snowy landscape.,United States,Snowy,Morning,Winter,Hiking,Adventure
https://images.pexels.com/photos/29493118/pexels-photo-29493118.jpeg,The Burj Khalifa and surrounding skyscrapers reflected in turquoise water in downtown Dubai; I chose it because I want to see this record-breaking tower and the futuristic city skyline.,United Arab Emirates,Sunny,Afternoon,Summer,City sightseeing,Excitement
https://cdn-imgix.headout.com/media/images/ab8e68378cb7254b4ea91aef4bf707d4-This%20is%20a%20Photograph%20of%20Safety%20Measures%20in%20Place.jpg?auto=format&w=1069.6000000000001&h=687.6&q=90&ar=14%3A9&crop=faces&fit=crop,Cappadocia’s valleys filled with hot-air balloons floating above unusual rock formations; I chose it because the sunrise balloon ride over this landscape looks like a once-in-a-lifetime experience.,Türkiye,Sunny,Morning,Spring,Hot-air balloon ride,Adventure
https://images.squarespace-cdn.com/content/v1/5c33451b710699b10e8e4576/1560342488189-O52RK4GSJ8IICVPAYCYG/IMG_3510.jpg?format=2500w,"Plitvice Lakes National Park with turquoise lakes, waterfalls, and green forest; I chose it because the wooden trails and clear water make it an ideal place for peaceful nature walks.",Croatia,Sunny,Afternoon,Summer,Hiking,Happiness
