URL,Description,Country,Weather,Time of day,Season,Activity,Mood/Emotion
https://media.istockphoto.com/id/1601204187/photo/aerial-skyline-austin-texas-usa.jpg?s=2048x2048&w=is&k=20&c=6fjpBDurrs7bIx8k41fuwYCYoEZUFLRwZa1tiLDK0B4=,"The image shows a bright aerial view of a modern city skyline with tall glass buildings. I chose this place because it looks clean, vibrant, and full of life.",United States,Sunny,Afternoon,Summer,No activity,Happiness
https://img.outoria.com/spai/q_lossy+w_300+h_300+to_avif+ret_img/www.outoria.com/wp-content/uploads/Travel/northern-lights-at-kirkjufell-iceland.jpg,The image shows a stunning landscape with the Northern Lights glowing in bright green waves nearby waterfalls and I chose it because combination of the mountainand glowing sky.,Iceland,Cold,Evening,Winter,Sightseeing,Adventure
https://img.outoria.com/spai/q_lossy+w_300+h_300+to_avif+ret_img/www.outoria.com/wp-content/uploads/Travel/maldives.jpg ,"The image shows an aerial view of overwater villas built above bright turquoise water, connected by wooden walkways and I chose this place because it looks peaceful and luxurious, with crystal-clear water.",Maldives,Sunny,Afternoon,Spring,Vacationing,Happiness
https://img.outoria.com/spai/q_lossy+w_906+h_604+to_avif+ret_img/www.outoria.com/wp-content/uploads/Travel/christ-the-redeemer.jpg,"The image shows the Christ the Redeemer statue standing tall on a forest-covered mountain,I chose this place because it is one of the most iconic landmarks in the world, representing culture, history, and stunning natural scenery.",Brazil,Cloudy,Evening,Summer,Photography,Excitement
https://img.outoria.com/spai/q_lossy+w_906+h_604+to_avif+ret_img/www.outoria.com/wp-content/uploads/Travel/machu-picchu-view-with-alpaca.jpg,"The image shows a llama standing in front of the ancient stone ruins , surrounded by steep green mountains.I chose this place because it is one of the most famous historical sites in the world, and the mix of nature.",Peru,Sunny,Morning ,Summer,Hiking,Nostalgia
https://www.22places.com/wp-content/uploads/2025/03/eiffel-tower-paris.webp,"The image shows the Eiffel Tower rising into a clear blue sky. I chose this place because the Eiffel Tower is one of the most famous landmarks in the world, and it represents beauty, art, and romance.",France,Sunny,Afternoon,Summer,Sightseeing,Romance
https://loveincorporated.blob.core.windows.net/contentimages/gallery/084db38e-016c-4fec-9391-c01438588682-switzerland_winter.jpg,"The image shows a bright red train crossing the Landwasser Viaduct, a tall stone bridge curving through a deep snowy valley.I chose this place because it looks like a magical winter landscape.",Switzerland,Snowy,Afternoon,Winter,Traveling,Melancholy
"https://hips.hearstapps.com/hmg-prod/images/big-ben-with-bridge-over-thames-and-flag-of-england-royalty-free-image-1719603543.jpg?crop=0.668xw:1.00xh;0,0",The image shows Big Ben standing tall beside the historic Houses of Parliament. A bright blue sky with white clouds fills the background .I chose this place because Big Ben is one of the most iconic landmarks in the world.,United Kingdom,Sunny,Morning ,Spring,Sightseeing,Nostalgia
"https://hips.hearstapps.com/hmg-prod/images/poas-volcano-crater-at-sunset-costa-rica-royalty-free-image-1673564521.jpg?crop=1xw:1xh;center,top","The image shows a volcanic crater surrounded by mountains under a soft, colorful sky. I chose this place because volcanic landscapes are rare, powerful, and beautiful.",Costa Rica,Cloudy,Afternoon,Spring,Hiking,Adventure
"https://hips.hearstapps.com/hmg-prod/images/cappadocia-turkey-royalty-free-image-1719603851.jpg?crop=0.670xw:1.00xh;0.0527xw,0",The image shows colorful hot-air balloons floating over the unique rocky landscape during sunrise. The warm orange light shines on the soft.I chose this place because the hot-air balloons and unusual rock formations make it look like a surreal.,Turkey,Sunny,Morning ,Summer,Hot-air balloon riding,Happiness
