Picture,Link,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
Pic 1,https://plus.unsplash.com/premium_photo-1661964149725-fbf14eabd38c?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A stunning island with white houses and blue domes 
overlooking the Aegean Sea. I chose it because it's one of the most 
photographed and romantic spots in the world.",Greece,Cloudy,Afternoon,Fall,Relaxing,Happiness
Pic 2,https://plus.unsplash.com/premium_photo-1661902398022-762e88ff3f82?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A futuristic city full of neon lights, modern tech, and unique 
culture. I chose it because it perfectly blends tradition and innovation.",Japan,Not Clear,Evening,Summer,Sightseeing,Happiness
Pic 3,https://images.unsplash.com/photo-1555400038-63f5ba517a47?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Lush green rice terraces, beaches, and spiritual temples. I 
chose it because it’s a top destination for relaxation and nature lovers. 
Country: Bali – Indonesia.",Bali – Indonesia.,Cloudy,Afternoon,Spring,Relaxing,Adventure
Pic 4,https://images.unsplash.com/photo-1549144511-f099e773c147?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"The Eiffel Tower and elegant streets make it one of the 
most iconic cities. I chose it because it’s a classic dream destination for 
art, romance, and culture. ",France,Sunny,Evening,Fall,Sightseeing,Romance
Pic 5,https://images.unsplash.com/photo-1680562726402-d6d3076d0e6a?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D," Skyscrapers, Times Square, and endless entertainment. I 
chose it because it’s the world’s most energetic and diverse city.",United States of America,Not Clear,Evening,Summer,Relaxing,Happiness
Pic 6,https://images.unsplash.com/photo-1722502831726-6cea3afa8ced?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A luxurious city with futuristic architecture and desert 
adventures. I chose it because it represents modern ambition and 
innovation.",United Arab Emirates,Sunny,Morning,Summer,Sightseeing,Romance
Pic 7,https://plus.unsplash.com/premium_photo-1666432045848-3fdbb2c74531?q=80&w=1332&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Crystal-clear turquoise water with beautiful overwater 
resorts. I chose it because it’s one of the most peaceful and beautiful 
tropical places on earth. ",Maldives,Sunny,Morning,Summer,Relaxing,Romance
Pic 8,https://images.unsplash.com/photo-1568080549864-b4505167e242?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Traditional temples, bamboo forests, and colorful seasonal 
scenery. I chose it because it preserves ancient Japanese beauty and 
calmness.",Japan,Cloudy,Evening,Spring,Hiking,Adventure
Pic 9,https://images.unsplash.com/photo-1719343112563-f121bae8daf0?q=80&w=1074&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D," Majestic snow-covered mountains perfect for skiing and 
sightseeing. I chose it because the landscapes are some of the most 
breathtaking on the planet. ",Switzerland,Sunny,Morning,Summer,Hiking,Adventure
Pic 10,https://plus.unsplash.com/premium_photo-1731264250071-664a753048f5?q=80&w=1332&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A vibrant city where East meets West, rich with history and 
stunning architecture. I chose it because it’s culturally unique and 
visually incredible.  ",Türkiye,Cloudy,Afternoon,Summer,Romance,Sightseeing
