Image URL,Description,Country,Weather ,Time of Day,Season ,Activity,Mood/Emotion
https://www.usnews.com/object/image/00000169-5e06-df95-a57d-7ec6a6c10000/4-eiffel-tower-getty.jpg?update-time=1706734251733&size=responsive970,"Eiffel Tower in sunlight, perfect for a spring visit.",France,Sunny,Afternoon,Spring,Sightseeing,Romance
https://globetrender.com/wp-content/uploads/2021/02/AdobeStock_239804375-scaled-e1614519735981.jpeg,"Sunny beach, great for relaxing and happy vibes",Greece,Sunny,Morning,Summer,Relaxing,Happiness
https://www.travelandleisure.com/thmb/nDDNqO2EctQhiIfZrxeXTF47zhE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/TAL-koh-phi-phi-PLACESTHAILAND1023-09b9d347b3cd4844b4ae19e4e06a9a6d.jpg,sunny and relaxing by the sea,Thailand,Sunny,Afternoon,Summer,Relaxing,Happiness
https://usercontent.one/wp/www.sunshineseeker.com/wp-content/uploads/2023/11/Rainy-Season-Bali-Ubud.jpg?media=1763304812,"Rainy Ubud, fun for adventure and relaxing",Bali,Rainy,Afternoon,Winter,Relaxing,Adventure
https://upload.wikimedia.org/wikipedia/commons/4/40/The_TAJ_MAHAL_in_the_evening_sun.jpg,"Morning view of Taj Mahal, very curious and beautifu",India,Not Clear,Morning,Not clear,Relaxing,Curiosity
https://a.travel-assets.com/findyours-php/viewfinder/images/res70/20000/20302-Colosseum.jpg,exciting historic place,Italy,Not Clear,Evening,Not clear,Sightseeing,Excitement
https://italien.expert/wp-content/uploads/2023/11/Rialto-Bruecke-Ponte-Rialto-Canal-Grande-Venedig-Venetien-Italien-1.jpg,"Canal and bridge in evening sun, romantic",Italy,Sunny,Evening,Summer,Sightseeing,Romance
https://www.touristjordan.com/wp-content/uploads/2023/02/shutterstock_1490981186-1024x704.jpg,"Sunlit ancient city, fun to explore",Jordan,Sunny,Afternoon,Summer,Exploring,Curiosity
https://yummyistanbul.com/wp-content/uploads/2021/11/galata-tower-buyuk-hendek-caddesi-678x1024.jpg,"Galata Tower at night, lively and fun to see",turkey ,Not Clear,Evening,Summer,Exploring,Happiness
https://staywildtravels.com/wp-content/uploads/2023/08/Interlaken-in-winter.jpg,"Snowy mountains, peaceful winter spot",Interlaken,Snowy,Afternoon,Winter,Relaxing,Happiness
