Image URL,Description ,country,Weather,Time of day,season,activity,mood
https://cdn.pixabay.com/photo/2016/09/04/20/09/mountains-1645078_1280.jpg,"A beautiful location in the Swiss countryside, chosen because I love green and scenic natural landscapes",Switzerland,Sunny,Morning,Not Clear,Relaxing,Happiness
https://i.pinimg.com/736x/7c/ff/ef/7cffef675634d9e268a5c8def95e342a.jpg,"Beautiful Istanbul near Hagia Sophia, chosen because I love exploring historical landmarks",Turkey,Sunny,Morning,Spring,Sightseeing,Excitement
https://i.pinimg.com/736x/c5/30/1e/c5301ebac731f4a293123d8898ee20de.jpg,"The pyramids in Egypt are an incredible architectural masterpiece, and I chose this place because I would love to see it in real life.",Egypt,Sunny,Afternoon,Summer,Sightseeing,Excitement
https://i.pinimg.com/1200x/e0/50/6f/e0506f69e96f2e324b4ac46ac64eb0e9.jpg,"Al-Andalus is a place with a rich and beautiful history for Muslims, which is why I chose it.",Spain,Not Clear,Evening,Summer,Sightseeing,Nostalgia
https://i.pinimg.com/1200x/39/6a/a4/396aa48734314313c5b30f6ba08bb144.jpg,"Al-Aqsa Mosque in Jerusalem is a sacred place, and I chose it because I truly wish to visit it one day and pray there.",Palestine,Sunny,Afternoon,Spring,Sightseeing,Nostalgia
https://i.pinimg.com/736x/a3/d2/b8/a3d2b85c29439c9fbcd724f1a41bc2ca.jpg,"The Eiffel Tower truly captures my attention, which is why I chose this destination.",France,Sunny,Afternoon,Spring,Sightseeing,Excitement
https://i.pinimg.com/736x/0f/f0/a7/0ff0a776a4853fefee8720a554262f8f.jpg,"Dubai showcases the beauty of modern architectural design, which is why I chose this destination.",UAE,Sunny,Afternoon,Winter,Relaxing,Excitement
https://i.pinimg.com/1200x/97/a4/8a/97a48ad1aeeecda4e3b4f12909c2a02b.jpg,"I chose this place because I would love to experience the activities in Thailand, especially riding a boat.",Thailand,Sunny,Morning,Not Clear,Hiking,Adventure
https://i.pinimg.com/736x/5e/cb/11/5ecb1153d05344b5745bea7753acef8e.jpg,I chose Greece because I would love to explore its historical landmarks and enjoy its stunning natural scenery.,Greece,Sunny,Morning,Spring,Sightseeing,Happiness
https://i.pinimg.com/736x/4c/17/14/4c1714fa8e77cf488ce88dd1219c4196.jpg,"I chose Japan because it has been a dream of mine since childhood, and I wish to visit it to see its traditional homes.",Japan,Sunny,Morning,Spring,Relaxing,Happiness
