url,describtion ,country,weather,time of day,season,Activity,mode
"https://img.static-af.com/transform/45cb9a13-b167-4842-8ea8-05d0cc7a4d04/?io=transform:fill,width:600,height:300&consumerid=bwp","The Eiffel Tower framed by golden autumn trees along the Seine River captures Paris at its most beautiful. This iconic view perfectly combines natural beauty with historic architecture, making it an unforgettable destination.",France,Sunny,Afternoon,Fall,Sightseeing,Romance
"https://s7g10.scene7.com/is/image/barcelo/holidays-to-georgia_holidays-in-georgia?&&fmt=webp-alpha&qlt=75&wid=2000&fit=crop,1","The historic old town of Tbilisi glows warmly at sunset, with colorful traditional houses cascading down the hillside and the ancient Narikala Fortress perched above. This charming scene showcases Georgia's unique architecture and rich cultural heritage.",Georgia,Cloudy,Evening,Summer,Sightseeing,Romance
https://trend.arabeuropa.com/wp-content/uploads/2020/07/%D8%B1%D8%AD%D9%84%D8%AA%D9%8A-%D8%A7%D9%84%D9%89-%D8%B3%D9%88%D9%8A%D8%B3%D8%B1%D8%A7.jpg,"A picturesque Swiss Alpine village with traditional wooden chalets, a crystal-clear stream, and vibrant flower gardens set against dramatic mountain peaks. This idyllic scene captures the natural beauty and charm that make Switzerland a dream destination.",Switzerland,Sunny,Morning,Summer,Sightseeing,Happiness
https://dynamic-media.tacdn.com/media/photo-o/2e/e6/d6/b8/caption.jpg?w=1400&h=1000&s=1,The iconic white-washed village of Santorini glows warmly as sunset paints the sky in stunning shades of purple and gold over the Aegean Sea. The famous blue-domed churches and clifftop buildings create one of the world's most romantic and breathtaking views.,Greece,Cloudy,Evening,Spring,Sightseeing,Romance
https://media.worldnomads.com/Explore/europe/5-things-italy.jpg,The colorful coastal village of Vernazza in Cinque Terre features vibrant buildings cascading down to a turquoise harbor filled with traditional fishing boats. This UNESCO World Heritage site perfectly captures the charm and beauty of the Italian Riviera.,Italy,Sunny,Afternoon,Summer,Boating,Happiness
https://images.contentstack.io/v3/assets/blt06f605a34f1194ff/blt6aa63fc4a5a1b4bc/684a9c038682d9e4765c8772/BCC-2025-EXPLORER-SINGAPORE-BUCKET_LIST-HEADER-DESKTOP.jpg?fit=crop&disable=upscale&auto=webp&quality=60&crop=smart&width=1920&height=1080,"Singapore's futuristic skyline illuminates at dusk, showcasing sleek skyscrapers and modern architecture along the waterfront. This dynamic cityscape highlights Singapore's position as a leading global financial hub and one of Asia's most innovative cities.",Singapore,Cloudy,Evening,Spring,Sightseeing,Excitement
"https://media.cntraveller.com/photos/673ef7c3fd8278e521ab6e9a/16:9/w_1920,c_limit/Stockholm-GettyImages-1489474038.jpg",Stockholm's Gamla Stan (Old Town) showcases colorful historic buildings and the distinctive green spire of the German Church under a bright blue sky. This charming medieval quarter is one of Europe's best-preserved old towns and the heart of Swedish history.,Sweden,Sunny,Afternoon,Summer,Sightseeing,Curiosity
https://cms.inspirato.com/ImageGen.ashx?image=%2fmedia%2f5682444%2fLondon_Dest_16531610X.jpg&width=975,"London's iconic skyline glows at twilight, featuring the illuminated Houses of Parliament, Big Ben, and modern bridges spanning the Thames River. This stunning view captures the perfect blend of historic grandeur and contemporary architecture that defines Britain's capital.",United Kingdom,Not clear,Evening,Not clear,Sightseeing,Nostalgia
https://www.internationalcitizens.com/wp-content/uploads/2022/10/iStock-503588918-1024x512.jpg,Kuala Lumpur's spectacular skyline at dusk features the iconic Petronas Twin Towers illuminated against a vibrant blue and orange sky. This modern metropolis showcases Malaysia's rapid development and its status as a major Southeast Asian destination.,Malaysia,Cloudy,Evening,Not clear,Sightseeing,Excitement
https://www.urtrips.com/wp-content/uploads/2018/10/where-is-cappadocia.jpg,Dozens of colorful hot air balloons float over Cappadocia's unique fairy chimney rock formations at sunrise. This magical landscape in central Turkey offers one of the world's most unforgettable ballooning experiences above ancient volcanic valleys.,Turkey,Sunny,Morning,Summer,Ballooning,Adventure
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
