image_url,description,country,weather,time_of_day,season,activity,mood

https://i.pinimg.com/736x/69/9e/58/699e583f98e978937d335f48ebe4f5e7.jpg,historic buildings classical music and elegant streets,vienna,cloudy,Evening,winter,shopping,Happiness.

https://i.pinimg.com/736x/ca/78/76/ca7876e7e6e45c60e6e47a8e8defc1a4.jpg,stunning sea views and romantic sunsets,santorini,Sunny,Evening,Summer,Relaxing,Romance.

https://i.pinimg.com/736x/a2/49/41/a2494139810790d38ce21073590fa937.jpg,beautiful country,switzerland,Not clear,Afternoon,Summer,relaxing,Happiness.

https://i.pinimg.com/736x/b8/a9/a7/b8a9a732b44eef3c26a97de38c3e26d2.jpg ,city of canals bridges and timeless charm, Italy, Not clear, evening,Not clear ,sightseeing,Romance.

https://i.pinimg.com/736x/d2/8d/ab/d28dab6a28d4011d4f22da89e1a5a84e.jpg,famous landmarks historic streets,london,cloudy,evening,Fall,sightseeing,Happiness.

https://i.pinimg.com/736x/f3/38/49/f33849ef79842bba471f8210765226b1.jpg,clear beaches and nature , Thailand, not clear , evening , summer , relaxing, happiness.

https://i.pinimg.com/736x/33/1a/1b/331a1b88afa9005599bdbc3c6ddf022c.jpg , vacation and beaches , Seychelles , sunny , morning, summer, relaxing, romance .

https://i.pinimg.com/736x/f7/b8/57/f7b857a237cb6d3ad5fdb037b6376055.jpg , tropical paradise with crystal-clear water , Maldives, sunny , morning , summer, relaxing , romance.

https://i.pinimg.com/736x/4a/82/f3/4a82f3a7221e706ec5f62c74c49f19e2.jpg , symbol of romance and culture , paris, snowy , not clear , winter , sightseeing , romance.

https://i.pinimg.com/736x/e7/3e/c2/e73ec2321ec5cc113ff0309ab0a2cd4b.jpg, old bridges colorful buildings , prague , raniy , evening , winter , shopping , happiness

