Image URL ,Description,Country,Weather,Time of day,Season,Activity,Mood/Emotion
https://www.adotrip.com/public/images/internationalarea/master_images/62f376ab6888a-Maldives_Attractions.jpg,"A stunning sunset view of Maldives overwater villas surrounded by crystal-clear turquoise water and palm-covered beaches. I chose this image because it reflects the peaceful, luxurious, and dream-like beauty of the islands.",Maldives,Sunny,Evening,Summer,Relaxing,Romance
https://cdn.urlaubsguru.at/wp-content/uploads/2018/05/Rio-de-Janeiro-shutterstock_146673245-1.jpg,"A breathtaking panoramic view of Rio de Janeiro at sunset, with Sugarloaf Mountain, bright city lights, and scattered boats reflecting on the peaceful bay. I chose this image because it captures the city's tropical beauty and lively coastal atmosphere.",Brazil,Sunny,Evening,Summer,Sightseeing,Adventure
"https://media.myswitzerland.com/image/fetch/c_lfill,g_auto,w_3200,h_1800/f_auto,q_80,fl_keep_iptc/https://www.myswitzerland.com/-/media/st/gadmin/images/cities/winter/cities/zuerich_st0032657_web_36236.jpg","A peaceful winter evening view of Zurich’s old town, with snow-covered rooftops, glowing street lights, and the river reflecting the city’s charm. I chose this image because it captures Zurich’s cozy and magical winter atmosphere.",Switzerland,Snowy,Evening,Winter,Sightseeing,Happiness 
https://cdn.thecrazytourist.com/wp-content/uploads/2019/12/ccimage-shutterstock_572091868.jpg,"A vibrant sunset view of Marrakech with the Koutoubia Mosque glowing beneath dramatic clouds. I chose this image because it highlights the city’s rich culture, warm colors, and lively public atmosphere.",Morocco,Sunny,Evening,Fall,Sightseeing,Adventure 
https://i.pinimg.com/originals/53/6b/61/536b61015959c130d1d7d97b56011804.jpg,"A tropical view of Bora Bora with turquoise water, lush green mountains, and traditional overwater bungalows. I chose this image because it shows the island’s paradise-like scenery and peaceful escape vibe.",French Polynesia,Sunny,Afternoon,Summer,Relaxing,Happiness 
https://windows10spotlight.com/wp-content/uploads/2023/02/0af47e1700fa1b02fc5f6a3f2e5013e4.jpg,"A majestic aerial view of the Colosseum glowing warmly at dusk, surrounded by the historic city of Rome. I chose this image because it reflects the ancient grandeur and cultural richness of one of the world’s most iconic landmarks.",Italy,Sunny,Evening,Fall,Sightseeing,Curiosity 
https://wallpaperaccess.com/full/2836239.jpg,"A stunning view of Los Angeles with golden-lit skyscrapers, snowy mountains in the background, and a full moon rising. I chose this image because it shows a rare and dramatic contrast between the warm city lights and the winter mountains.",United states,Clear,Evening,Winter,SightseeingExcitement ,
https://i0.wp.com/www.tommyooi.com/wp-content/uploads/2013/11/Kinkakuji.jpeg?fit=1600%2C1200&ssl=1,"A peaceful scene of the Golden Pavilion in Kyoto reflecting on a calm pond, surrounded by lush greenery and soft sunlight. I chose this image because it captures the elegance, serenity, and traditional beauty of Japanese architecture.",Japan,Sunny,Afternoon,Spring,Sightseeing,Peacefulness 
https://thepointsguy.global.ssl.fastly.net/us/originals/2021/05/Paris-France-with-Eiffel-Tower-in-background.jpg,A bright daytime view of Paris with the Eiffel Tower rising above the classic Haussmann-style buildings and long tree-lined avenues. I chose this image because it captures the elegant and lively atmosphere of Paris during a sunny day.,France,Sunny,Afternoon,Spring,Sightseeing,Happiness 
https://www.roadaffair.com/wp-content/uploads/2017/10/ortakoy-mosque-istanbul-turkey-shutterstock_529286353.jpg,"A bright and colorful view of the Ortaköy Mosque by the Bosphorus, with boats on the water and the Bosphorus Bridge in the background. I chose this image because it beautifully captures Istanbul’s blend of history, culture, and scenic waterfront life.",Turkey,Sunny,Afternoon,Summer,Sightseeing,Happiness 
