ImageURL,Description,Country,Weather,TimeOfDay,Season,Activity,Mood/Emotion
https://images.squarespace-cdn.com/content/v1/5f1ab4309bd4b45e29ec3e4b/f9538766-163e-4539-8dc1-4f7b648f619f/Woman+hiking+mountains%2C+Giant%27s+Castle+South+Africa%2C+Central+Drakensberg%2C+KZN%2C+SA.jpeg?format=2500w,This image shows a hiker standing in the middle of mountains in a place called Drakensberg in South Africa. I chose this place because of the contemplation feeling in it. ,South Africa,Sunny,Morning,Spring,Hiking,Adventure
https://images.pexels.com/photos/13922502/pexels-photo-13922502.jpeg?_gl=1*15lmuyz*_ga*NTk0ODM5MjU4LjE3NjQ5NTY5MDU.*_ga_8JE65Q40S6*czE3NjQ5NTY5MDQkbzEkZzEkdDE3NjQ5NTcwNzkkajU5JGwwJGgw,this is a photo of a little Palestinian girl that is smiling in front of the dome of the rock in Jerusalem Palestine. i chose this place cause it is a place that brings memories to me ,Palestine,Cloudy,Afternoon,Fall,No Activity,Nostalgia
https://images.pexels.com/photos/1369212/pexels-photo-1369212.jpeg?_gl=1*1cfp1z4*_ga*NTk0ODM5MjU4LjE3NjQ5NTY5MDU.*_ga_8JE65Q40S6*czE3NjQ5NTY5MDQkbzEkZzEkdDE3NjQ5NTc3NjEkajI3JGwwJGgw,this is a photo of a visiter that is standing in front of pyramids in Egypt in the middle of the day and i chose this place cause it is a place that i really want to visit ,Egypt,Sunny,Morning,Summer,Siteseeking,Curiosity
https://images.pexels.com/photos/12575878/pexels-photo-12575878.jpeg?_gl=1*vu550*_ga*NTk0ODM5MjU4LjE3NjQ5NTY5MDU.*_ga_8JE65Q40S6*czE3NjQ5NTY5MDQkbzEkZzEkdDE3NjQ5NTgyMjAkajQ5JGwwJGgw,this photo of two people that are skydiving in Switzerland and i choose this place because it is a place i want to visit,Switzerland,Sunny,Morning,Spring,Skydiving,Adventure
https://images.pexels.com/photos/2067057/pexels-photo-2067057.jpeg?_gl=1*zy735i*_ga*NTk0ODM5MjU4LjE3NjQ5NTY5MDU.*_ga_8JE65Q40S6*czE3NjQ5NTY5MDQkbzEkZzEkdDE3NjQ5NTg0ODAkajEkbDAkaDA,this photo shows people standing and cars moving in night in a street in Tokyo and I chose this place cause it is a place that i want to visit,Japan,Rainy,Evening,Winter,No Activity,Happiness
https://images.pexels.com/photos/34988677/pexels-photo-34988677.jpeg?_gl=1*1bcs8sa*_ga*NTk0ODM5MjU4LjE3NjQ5NTY5MDU.*_ga_8JE65Q40S6*czE3NjQ5NTY5MDQkbzEkZzEkdDE3NjQ5NTkxNjIkajU1JGwwJGgw,this is a photo of a group of people and animals that looks like they are skiing on snow in Russia and I chose this place cause i want to try skydiving when visiting Russia ,Russia,Snowy,Afternoon,Winter,Skiing,Adventure
https://images.pexels.com/photos/18602876/pexels-photo-18602876.jpeg?_gl=1*1uw76gn*_ga*NTk0ODM5MjU4LjE3NjQ5NTY5MDU.*_ga_8JE65Q40S6*czE3NjQ5NjE4MTMkbzIkZzEkdDE3NjQ5NjIwNDkkajQ2JGwwJGgw, this photo is a photo for a place called the Roman Colosseum that was a place for the entertainment events. and i chose this place cause it is one of the seven wonders of the world,Italy,Sunny,Afternoon,Summer,No Activity,Curiosity
https://images.pexels.com/photos/32852130/pexels-photo-32852130.jpeg?_gl=1*10u1do0*_ga*NTk0ODM5MjU4LjE3NjQ5NTY5MDU.*_ga_8JE65Q40S6*czE3NjQ5NjE4MTMkbzIkZzEkdDE3NjQ5NjI1ODUkajckbDAkaDA.,this is a photo of large stone statues called Maoi they were created to honor important ancestors or chiefs. It is an island in the Pacific Ocean and it is follows the country of Chile in South America and i chose this place cause it is one of the sites that i really want to see in the future,Chile,Cloudy,Afternoon,Fall,No Activity,Adventure
https://i.pinimg.com/1200x/34/80/1f/34801fcf2f5a39487154521c4e38d2f2.jpg,this is a photo of a mosque called Aya Sofya that is in turkey and i chose this place cause it is a place that i want to visit in the future,Turkey,Not Clear,Afternoon,Fall,No Activity,Happiness
https://i.pinimg.com/1200x/ad/a8/a5/ada8a502e3700612a2a27e1364696c51.jpg,this is a photo of a place that is called the Socotra Island that is in Yemen and the tree in the photo is called a Dragon blood tree and i chose this place cause it fascinates me, Yemen,Sunny,Afternoon,Summer,Hiking,Adventure
