Image URL,description,country,weather ,time of day ,season,activity,mood/emotion
https://static.vecteezy.com/system/resources/previews/027/002/084/non_2x/aerial-view-of-the-eiffel-tower-at-sunset-paris-france-aerial-panoramic-view-of-paris-with-eiffel-tower-at-sunset-france-ai-generated-free-photo.jpg,"A beautiful panoramic view of the Eiffel Tower during sunset, with golden light reflecting on the Seine River. I chose this image because it perfectly captures the romantic and iconic atmosphere of Paris.",France,Sunny,Evening,Summer,Sightseeing,Romance
https://a.cdn-hotels.com/gdcs/production18/d1838/041ae6b1-0a88-4c22-a648-53a22dd4a006.jpg,"A bright and colorful view of Santorini with its iconic white houses, blue domes, and vivid flowers overlooking the deep blue Aegean Sea. I chose this image because it captures the peaceful, sunny, and dream-like beauty of the island.",Greece,Sunny ,Afternoon,Summer,Sightseeing,Happiness
https://www.traveloffpath.com/wp-content/uploads/2022/11/Skyline-Of-Dubai-United-Arab-Emirates-With-The-Tallest-Building-In-The-World-Burj-Khalifa-Reflecting-The-Sun-Shine-And-A-Sea-Of-Skyscrapers-Surrounding-It-Middle-East.jpg,A stunning view of the Dubai skyline with the Burj Khalifa glowing during sunset. I chose this image because it highlights Dubai's futuristic architecture and vibrant city atmosphere.,United Arab Emirates,Sunny,Evening,Summer,Sightseeing,Exitment 
https://h2.gifposter.com/bingImages/TokyoSunrise_1920x1080.jpg,"A breathtaking sunset view of Tokyo with the Tokyo Skytree rising above the city. I chose this image because it captures Tokyo’s blend of modern architecture, warm colors, and endless urban life.",Japan,Sunny,Evening,Fall,Sightseeing,Curiosity 
https://media.architecturaldigest.com/photos/57d07a2304d9a6143e1952d0/master/pass/venice-travel-guide.jpg,"A beautiful view of Venice’s Grand Canal with boats gliding through turquoise water and the stunning Santa Maria della Salute basilica in the background. I chose this image because it captures Venice’s peaceful, historic, and charming atmosphere.",Italy,Sunny,Afternoon,Spring,Sightseeing,Romance
"https://www.tripsavvy.com/thmb/p-X8mMAv-vqWct7oosovltQoKZg=/2121x1414/filters:fill(auto,1)/giza-egypt-pyramids-in-sunset-scene--wonders-of-the-world--1085205362-e1d04d7e00e94c4896ca58bed32e5a61.jpg","A stunning view of the Pyramids of Giza at sunset, with warm golden light over the desert and camels crossing the sand. I chose this image because it reflects Egypt’s ancient history and timeless atmosphere.",Eygypt,Sunny,Evening,Summer,Sightseing,Curiosity 
https://img.fotocommunity.com/new-york-a-winter-swirl-8fbdf3cb-50a2-4118-ba93-1eb8c8ae10c3.jpg?height=1080,"A serene winter view of the Brooklyn Bridge and Manhattan skyline, with snow covering the shore and reflections on the icy river. I chose this image because it shows New York’s iconic beauty in a calm, magical winter atmosphere.",United states,Snowy,Evening,Winter,Sightseeing,Nostalgia
https://a.cdn-hotels.com/gdcs/production143/d1112/c4fedab1-4041-4db5-9245-97439472cf2c.jpg,"A peaceful view of Bali’s Ulun Danu Beratan Temple surrounded by calm reflective water, lush greenery, and bright morning sunlight. I chose this image because it shows Bali’s natural beauty and spiritual atmosphere.",Indonesia,Sunny,Morning,Spring,Sightseeing,Happiness
https://i.pinimg.com/originals/7e/85/5c/7e855c5a5b94b696ad13da177f0f62ff.jpg,"A snowy winter view of Tower Bridge in London, beautifully lit against the soft blue evening sky. I chose this image because it shows the city’s iconic architecture in a peaceful and magical winter atmosphere.",United kingdom,Snowy,Evening,Winter,Sightseeing,Nostalgia 
https://api.time.com/wp-content/uploads/2023/03/Worlds-Greatest-Places-Barcelona-Spain.jpg,A golden sunset view over Barcelona with the Sagrada Família rising beautifully in the center of the city. I chose this image because it shows the unique architecture of Gaudí surrounded by the vibrant grid-like streets of Barcelona.,Spain,Sunny,Evening,Summer,Sightseeing,Curiosity 
