Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood
"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2021/04/14/images/182506.jpg",Al-Aqsa Mosque a sacred and historical Islamic site,Palestine,Rainy,Afternoon,Winter,Sightseeing,Nostalgia
https://mlegdx5tedle.i.optimole.com/baCgufs.LVHB~676cd/w:500/h:365/q:auto/rt:fill/g:ce/https://colosseum.info/wp-content/uploads/2019/10/shutterstock_62073784.jpg,Colosseum in Rome an ancient Roman amphitheater showcasing historical architecture,Italy,Sunny,Evening,Summer,Sightseeing,Curiosity
https://images.pexels.com/photos/7655108/pexels-photo-7655108.jpeg,Seoul cityscape vibrant city with modern architecture ,South Korea,Cloudy,Evening,Spring,Relaxing,Curiosity
https://images.pexels.com/photos/3867371/pexels-photo-3867371.jpeg,Eiffel Tower in Paris an iconic landmark in France.,France,Sunny,Afternoon,Fall,Sightseeing,Happiness
https://cdn.mos.cms.futurecdn.net/57jQMDN5MZLYfV8ps8HuZQ.jpg,Aurora Borealis in the Arctic Circle Northern Lights illuminating the night sky,Arctic Circle,Snowy,Evening,Winter,Hiking,Excitement
https://arabicpost.net/wp-content/uploads/2019/08/istock-851666252.jpg,Beach in Sidi Bou Said Tunisia white sands and blue sea with scenic views,Tunisia,Sunny,Afternoon,Summer,Relaxing,Happiness
https://images.pexels.com/photos/1285625/pexels-photo-1285625.jpeg,Santorini iconic white houses and blue domes on cliffs overlooking the sea,Greece,Sunny,Afternoon,Spring,Relaxing,Happiness
https://images.pexels.com/photos/176400/pexels-photo-176400.jpeg,Beach in Thailand with crystal clear water perfect for relaxation and leisure,Thailand,Sunny,Morning,Summer,Sightseeing,Adventure
https://visitmaldives.s3.amazonaws.com/ywDKjNoN/c/6qo3rduf-large.jpg,Bioluminescent beach in the Maldives glowing waters creating a magical night scene,Maldives,Sunny,Evening,Summer,Sightseeing,Excitement
https://images.pexels.com/photos/16721639/pexels-photo-16721639.jpeg,Cologne Cathedral in Germany  Gothic architecture with intricate details,Germany,Sunny,Morning,Summer,Sightseeing,Curiosity
